Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,Price per SqFt
2.77,27526,3,3,2285,1,2020,279815,279815,160,0,35.58,-78.7908,1,122.45733041575492
2.77,27527,3,3,1603,1,2020,231525,231525,125,0,35.6577,-78.3837,0,144.43231441048036
2.77,27527,3,3,1603,1,2021,224469,224469,142,0,35.6577,-78.3837,0,140.03056768558952
2.77,27520,3,3,1647,1,2020,223999,223999,181,0,35.6348,-78.451,0,136.00425015179113
2.77,27502,4,4,2068,1,2020,317135,317135,124,0,35.7225,-78.8408,1,153.35348162475822
2.77,27609,4,4,2172,1,2005,325000,325000,97,0,35.848,-78.6317,2,149.6316758747698
2.77,27540,3,3,2476,1,2020,358696,358696,214,0,35.6263,-78.8458,1,144.86914378029078
2.77,27560,3,4,2293,1,2020,360900,360900,325,0,35.8344,-78.8466,1,157.39206279982557
2.77,27502,3,3,1942,1,2020,323900,323900,170,0,35.7225,-78.8408,1,166.78681771369722
2.77,27610,2,3,1165,1,2008,150000,150000,40,0,35.7667,-78.6008,4,128.75536480686696
2.77,27705,3,3,1748,1,2020,315785,315785,179,0,36.0218,-78.9478,1,180.6550343249428
2.77,27705,3,3,1629,1,2020,319900,319900,181,0,36.0218,-78.9478,1,196.378146101903
2.77,27608,2,3,1440,1,2014,400000,400000,0,0,35.8077,-78.6463,2,277.77777777777777
2.77,27527,3,3,1603,1,2020,216110,216110,110,0,35.6577,-78.3837,0,134.81597005614472
2.77,27610,3,3,1573,1,2020,216052,216052,131,0,35.7667,-78.6008,4,137.3502860775588
2.77,27610,3,3,1573,1,2020,216052,216052,118,0,35.7667,-78.6008,4,137.3502860775588
2.77,27527,3,3,1603,1,2021,217125,217125,95,0,35.6577,-78.3837,0,135.4491578290705
2.77,27610,3,4,2272,1,2005,199000,199000,18,0,35.7667,-78.6008,4,87.58802816901408
2.77,27520,3,3,1407,1,2020,212999,212999,178,0,35.6348,-78.451,0,151.38521677327648
2.77,27610,3,3,1573,1,2020,212974,212974,130,0,35.7667,-78.6008,4,135.39351557533377
2.77,27610,3,3,1573,1,2020,211512,211512,129,0,35.7667,-78.6008,4,134.4640813731723
2.77,27610,3,3,1573,1,2020,209380,209380,131,0,35.7667,-78.6008,4,133.10870947234582
2.77,27610,3,3,1573,1,2020,206712,206712,188,0,35.7667,-78.6008,4,131.4125874125874
2.77,27571,3,3,1607,1,2021,259900,259900,209,0,35.9156,-78.4658,4,161.72993154947108
2.77,27703,3,3,1618,1,2020,261537,261537,186,0,35.9781,-78.8439,1,161.64215080346105
2.77,27591,3,3,1563,1,2020,239650,239650,72,0,35.798,-78.3926,0,153.32693538067818
2.77,27587,3,3,1601,1,2015,259900,259900,57,0,35.9815,-78.5392,4,162.3360399750156
2.77,27604,3,4,1795,1,2020,255390,255390,125,0,35.8334,-78.5799,4,142.27855153203342
2.77,27703,3,3,1603,1,2020,255830,255830,185,0,35.9781,-78.8439,1,159.59451029320024
2.77,27560,3,3,1559,1,2006,244900,244900,97,0,35.8344,-78.8466,1,157.08787684413085
